Timestamp,Article Title,Article Identifier,Independent variable(s) of interest,Outcome variable(s) of interest,Abstract: Primary Linking Sentence(s),Abstract: Primary Linking Word/Phrase,Abstract: Modifying word/phrases,Abstract: How strongly does the language in this sentence imply that the authors identified a causal relationship between the independent variable of interest and the outcome of interest?,Abstract: Action Recommendation(s),Abstract: Action recommendation causal implication,Introduction/methods: Formal causal model,"Introduction/methods: Are there variables controlled, adjusted, matched or stratified on?",Discussion/conclusions: Primary Linking Sentence(s),Discussion/conclusions: Primary Linking Sentence(s),Discussion/conclusions: Primary Linking Word/Phrase,Discussion/conclusions: Modifying Word/Phrase,Discussion/conclusions: How strongly does the language in this sentence imply that the authors identified a causal relationship between the primary independent variable and the primary outcome?,Discussion/conclusions: Action Recommendation(s),Discussion/conclusion: Action recommendation causal implication,Anywhere in text: Causal disclaimer statements,Anywhere in text:  Acknowledgement of intent to draw causal inference,"Anywhere in text: Is ""confounding"", ""confounders"", or ""third variable"" discussed or mentioned in relation to the methods, results, and/or interpretation of this study?",Additional comments
10/6/2025 11:21:00,Leader–follower psychological capital congruence and work outcomes: the mediating role of organizational embeddedness,DOI 10.1108/LODJ-06-2021-0300,leader psychological capital; follower psychological capital,task performance; voice behaviour; organisational embeddedness,Followers’ organizational embeddedness will be higher when leaders’ and followers’ PsyCap are more aligned,higher,,None: The linking sentence does not imply in any way a causal relationship was identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other""), Structural equations model",Yes,"First, our study highlights that followers’ task performance and voice behavior will be enhanced when they share similar levels of PsyCap with leaders, especially when both are high in PsyCap.",Third paragraph of the discussion or conclusions section,enhanced,,Strong: The linking sentence clearly implies that causality had been identified,"Second, the human resource department should also offer employees knowledge and skill training programs about how to seek team synchronous improvement in psychology. ",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/6/2025 14:28:22,Psychological Capital Relates With Teacher Enjoyment: The Mediating Role of Reappraisal,doi: 10.3389/fpsyg.2022.879312,Psychological Capital,Teacher Enjoyment; Reappraisal,the results showed that PsyCap and reappraisal positively influence the teachers’ online teaching enjoyment (OTE),influence,positively,Strong: The linking sentence clearly implies that causality had been identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other"")",Yes,"First of all, the results reveal a positive relationship between PsyCap and online teaching enjoyment, which confirms the first hypothesis in this study and is consistent with previous research on the connection between school PsyCap and achievement emotions ",First paragraph of the discussion or conclusions section,relationship,positive,None: The linking sentence does not imply in any way a causal relationship was identified,"To help teachers find more enjoyment in online teaching, colleges and universities should try to strengthen their psychological capital and train them to make better use of the ER strategy of reappraisal, making them more optimistic, confident and resilient.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"First, the research design was
cross-sectional and causal inference cannot be made.",,"Yes, in the methods section",
10/6/2025 14:54:12,The Influence of Psychological Capital and Social Capital on the Entrepreneurial Performance of the New Generation of Entrepreneurs,doi: 10.3389/fpsyg.2022.832682,Psychological Capital and Social Capital,Entrepreneurial Performance,The results show that there is a significant positive correlation between the dimensions of psychological capital and entrepreneurial performance.,correlation,significant positive,None: The linking sentence does not imply in any way a causal relationship was identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other"")",Yes,"The correlation of variables between pairs indicates that the proposed theoretical hypothesis H1 is established, that is, the psychological capital of employees has a significant positive impact on their entrepreneurial performance. ",Elsewhere in the discussion or conclusions section,impact,significant positive,Strong: The linking sentence clearly implies that causality had been identified, ,N/A: No action recommendation(s) provided in the discussion/conclusion,,,"Yes, in the methods section",
10/6/2025 15:32:07,"Effects of Psychological Capital and Person-Job Fit on Hospitality Employees’ Work-Family Conflict, Family-Work Conflict and Job Performance: The Moderating Role of Marital Status",doi: 10.3389/fpsyg.2022.868971,psychological capital; person-job fit,work–family conflict; family–work conflict; job performance,Findings showed that PsyCap could significantly alleviate two directions of WFC simultaneously and promote employees’ JP.,alleviate,significantly,Strong: The linking sentence clearly implies that causality had been identified,"Airline companies should pay more attention to the positive impact of individual psychological determinants, such as PsyCap and PJ fit, which can effectively alleviate various issues in the work–family interface, thereby improving employees’ JP.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Other graphical causal model (describe in ""other""), Structural equations model",Yes,"The findings demonstrated that PsyCap and PJ fit significantly and negatively influenced WFC and FWC, which was consistent with the COR theory (Hobfoll, 2002). ",Second paragraph of the discussion or conclusions section,influenced,significantly and negatively,Strong: The linking sentence clearly implies that causality had been identified,"Thus, rigorous selective procedures for recruiting new employees who possess a high level of PsyCap and PJ fit are supposed to be implemented by human resource departments in hospitality organizations.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"Yes, in the introduction",
10/6/2025 15:46:36,The interaction effect of psychological capital on the relationship between self-driven personality and happiness at work in the present and post-COVID-19 era,DOI 10.1108/CG-08-2021-0275,psychological capital; self-driven personality,happiness at work,"The magnitude effect of self-driven personality on happiness at work depends on PsyCap, implying that the assumption of non-additivity is met.",depends? effect?,,Strong: The linking sentence clearly implies that causality had been identified,"To boost happiness at the workplace, heads of hospitals should always endeavour to find a viable self-driven personality and PsyCap blend that can add value to nurses’ happiness in Uganda.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,Structural equations model,No,"Similarly, the results for H2 show that there is a significant positive relationship between PsyCap and happiness at the workplace.",Second paragraph of the discussion or conclusions section,relationship,significant positive,None: The linking sentence does not imply in any way a causal relationship was identified,They should redesign the recruitment system and policies that can boost PsyCap and self-driven personality to promote happiness at the workplace among professional nurses in Uganda.,Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/8/2025 10:17:33,Why Does Psychological Capital Foster Subjective and Objective Career Success? The Mediating Role of Career-Speci c Resources,DOI: 10.1177/10690727211040053,Psychological Capital,Objective & Subjective Career Success,Our results indicate a positive relationship between PsyCap and career success.,relationship,positive,None: The linking sentence does not imply in any way a causal relationship was identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other"")",Yes,"As expected, we found that PsyCap is positively related to subjective and objective career success.",First paragraph of the discussion or conclusions section,related,positively,None: The linking sentence does not imply in any way a causal relationship was identified,"We would also urge career counselors to look into PsyCap as a means to support their clients. Developing PsyCap is specifically helpful for both fostering OCS and SCS and therefore can be seen as a counseling strategy independently of the clients’ more objective or more subjective career goals, especially because PsyCap had independent main effects on both types of success even after including the mediators (but excluding the stability coefficients of career success).",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"Although a methodological strength of this study is its time-lagged design with data collected over
3 years in a big sample (while accounting for stability effects in the outcomes), the investigated
relationships cannot be causally interpreted.",,"No, this does not appear in the study manuscript",
10/8/2025 10:28:29,Organizational Emotional Capability Perspective: Research on the Impact of Psychological Capital on Enterprise Safety Performance,doi: 10.3389/fpsyg.2022.854620,Psychological Capital,safety performance,"Finally, the three important issues found based on data analysis were: (1) Managers’ psychological capital has a significant positive impact both on employee safety performance and organizational emotional capability; (2) Organizational emotional capability has a significant positive impact on employee safety performance; (3) organizational emotional capability plays a partial mediating role in the relationship between managers’ psychological capital and employee safety performance.",impact,significant positive,Strong: The linking sentence clearly implies that causality had been identified,,N/A: No action recommendation(s) provided in this abstract,"No, there are no formal causal models presented in this paper",Yes,The research results verify the following four hypotheses. H1: The psychological capital of managers significantly impacts employee safety performance; good psychological capital not only makes it easy for employees to accept the management of their leaders and hold positive attitudes toward the measures taken by their managers but also motivates employees to be willing to add more positive behaviors that conform to the rules.,First paragraph of the discussion or conclusions section,impacts,significantly,Strong: The linking sentence clearly implies that causality had been identified,"(2) In the training process of managers, courses related to psychological capital cultivation should be added so that managers can understand the meaning of psychological capital and improvement methods and consciously improve their psychological capital ability in daily management practice.",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,"The data used in the study are
mainly cross-sectional data, which cannot inform the causal
relationship between variables.",,"No, this does not appear in the study manuscript",
10/8/2025 10:42:24,"A Study on How Psychological Capital, Social Capital, Workplace Wellbeing, and Employee Engagement Relate to Task Performance",https://doi.org/10.1177/21582440221095010,psychological capital; social capital,workplace wellbeing; engagement,"The results indicate a significant positive relationship between PsyCap, workplace wellbeing, and employee engagement with task performance",relationship,significant positive,None: The linking sentence does not imply in any way a causal relationship was identified,,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other""), Structural equations model",No,"The robust positive relationship of PsyCap with WWB substantiates earlier findings of Avey et al. (2011), Baron et al. (2016), Brunetto et al. (2021), Imran and Shahnawaz (2020), and Koller and Hicks (2016).",Elsewhere in the discussion or conclusions section,relationship,robust positive,None: The linking sentence does not imply in any way a causal relationship was identified,"Thus developing PsyCap through inventions would help enhance wellbeing and task performance, which could, in turn, facilitate organi- zational effectiveness. ",Strong: The action recommendation could only be made appropriately had a causal relationship been identified,,,"No, this does not appear in the study manuscript",
10/8/2025 11:02:03,Psychological Capital and Occupational Well-Being: Mediating Effects of Work Engagement Among Chinese Special Education Teachers,doi: 10.3389/fpsyg.2022.847882,psychological capital,occupational wellbeing,The results indicated that PsyCap was positively correlated with occupational well-being and work engagement.,correlated,positively,None: The linking sentence does not imply in any way a causal relationship was identified,"[Could this be considered?] The study’s results illustrate the association between PsyCap, work engagement, and occupational well-being, which may help educational administrators
and social workers assist with special education and special education teachers develop
and maintain good working conditions.",None: The action recommendation would be made appropriately in the absence of any causal relationship,"Other graphical causal model (describe in ""other""), Structural equations model",No,"We found that PsyCap of Chinese special education teachers had a significantly positive direct effect on occupational well-being, which corroborates previous evidence that PsyCap helps promote workers’ performance and well-being ",First paragraph of the discussion or conclusions section,effect,significantly positive direct,"Moderate: The linking sentence mostly implies a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference",Special education schools should guide teachers to pay attention to their PsyCap and help them learn how to self-regulate to improve their PsyCap levels. ,"Moderate: The action recommendation most likely could be made appropriately had a causal relationship been identified, but it is unclear or possible to come to that recommendation in the absence of any causal inference","First, this study adopted a cross-sectional
design; thus, it is diﬃcult to confirm causal relationships between
the variables.",,"No, this does not appear in the study manuscript",Rate LS as moderate due to mediation?
10/8/2025 11:27:01,Psychological capital and innovative work behaviour: The role of mastery orientation and creative self-efficacy,https://doi.org/10.1016/j.ijhm.2022.103157,psychological capital,innovation work behaviour,The present study en- riches the innovative work behavior literature by combining different perspectives in a coherent framework and demonstrates the partially mediated positive relationship of psychological capital and innovative work behavior via mastery orientation,relationship,partially mediated positive,"Weak: The linking sentence might imply a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference",,N/A: No action recommendation(s) provided in this abstract,"Other graphical causal model (describe in ""other""), Structural equations model",No,"The study’s findings support H1, as the direct effect of PsyCap on IWB is significant. ",Second paragraph of the discussion or conclusions section,effect,direct,"Moderate: The linking sentence mostly implies a causal relationship was identified, but it is unclear or possible to come to that conclusion in the absence of any causal inference","As a result, it is advantageous for firms to recruit and retain employees with high PsyCap.","Moderate: The action recommendation most likely could be made appropriately had a causal relationship been identified, but it is unclear or possible to come to that recommendation in the absence of any causal inference","As a result, the study’s findings lack causation.",,"No, this does not appear in the study manuscript","I know you've advised rating recruitment/retention as ""Weak"", but I've rated the AR in the context of the sentence that follows: As a result, it is advantageous for firms to recruit and retain employees with high PsyCap. Importantly, the research has shown that PsyCap, because it is malleable and open to development (Luthans, 2015), can be scaled
by interventions (Luthans et al., 2006, 2010).

Overall, I think this AR is more that ""Weak""."
